정류소ID,정류소번호,정류소명,X좌표,Y좌표
100900111,01721,광화문새마을금고,126.9710277184,37.5794930902
100900110,01722,성균관대학교,126.9972179386,37.5850311082
100900109,01723,제1놀이터,126.9741212409,37.6145722576
100900108,01724,활터앞,126.9653293849,37.5768126115
100900107,01725,종로5가.3번출구,127.0020898456,37.5714192458
100900106,01727,인사동입구,126.983296967,37.5719470235
100900105,01728,정독도서관,126.9802007494,37.580191528
100900104,01729,오거리,126.9697392663,37.5794684375
100900103,01732,밀알기도원,126.9757438761,37.6163963984
100000360,01733,창경궁.고궁호텔.메이플레이스호텔,126.9974492169,37.5765581609
100000329,01762,광화문,126.9738331615,37.5703260433
100000330,01763,종로1가,126.980129,37.57037
100000331,01764,종로1가,126.9808260992,37.569954334
100000333,01766,종로2가,126.9855751378,37.5699685262
100000334,01767,종로3가,126.9931553118,37.5705896376
100000335,01768,종로3가,126.9909932186,37.5701024255
100000336,01769,종로4가,126.9968799905,37.5704208133
100000338,01771,동대문종합시장종로6가,127.0032060634,37.5707920608
100900102,01776,종로도서관,126.9671251598,37.5764842271
100000343,01777,경복궁역,126.9715056448,37.5761780936
100000344,01778,경복궁역,126.971315603,37.5757554359
100000345,01779,안국역,126.9852772375,37.5765590725
100000346,01780,안국역,126.9855059829,37.5763185096
100000347,01781,창덕궁,126.9889000511,37.5774767793
100000348,01782,성대입구,126.9997033431,37.5835875947
100900101,01790,종로사우나,126.9877503526,37.5738011149
100900180,01791,엄마분식,126.9557163281,37.6012424257
100900100,01792,삼청파출소,126.9813258198,37.58164517
100900099,01793,통인시장,126.9687504797,37.5803350289
100900191,01794,종로5가역,127.0000249058,37.570671358
100900098,01795,평창공원지킴터입구,126.9770474423,37.6172373713
100900145,01796,배화여중고,126.9678156705,37.5767556306
100900143,01797,대학로입구.이화사거리,127.0025801998,37.5759841652
100900144,01798,운현궁,126.9869813803,37.5752716136
100900142,01799,상명대입구,126.9569583018,37.6000210109
100900141,01800,삼청동주민센터,126.9822105151,37.5846846831
100900140,01801,박노수미술관,126.9668944502,37.5810265604
100900139,01802,명동의류,126.9783685436,37.616304998
100900138,01803,사직동주민센터,126.9689039095,37.5762206893
100900137,01804,충신시장,127.005404874,37.5749766498
100900189,01805,안국역2번출구앞,126.9861183272,37.5771728174
100900135,01807,금융연수원,126.981847891,37.5858776706
100900134,01809,감람산기도원,126.9798729651,37.6159439291
100900133,01810,카센터.터널앞,126.96585932,37.5741644592
100900131,01812,재동초등학교,126.9853617134,37.578791085
100900130,01813,하림각,126.9622528507,37.597810653
100900129,01814,교육과정평가원,126.9817444742,37.5874185176
100900128,01815,이화사거리,127.0022812884,37.5753200672
100900127,01816,연화정사,126.9794938432,37.6146490046
100900126,01817,대신중고,126.9616893251,37.5726178078
100900209,01818,동묘역.롯데캐슬,127.0157921305,37.5740286703
100900125,01819,현대사거리,126.9866353642,37.5792417814
100900215,01820,교남동주민센터,126.9612800199,37.5721522968
100900181,01821,부암동주민센터.무계원,126.9637682263,37.5929353403
100900124,01823,형제봉매표소,126.9816861503,37.6128643152
100900123,01824,교남동새마을금고,126.962337459,37.5714943551
100900122,01825,창신초교,127.0157200961,37.5760372123
100900168,01826,가회동주민센터,126.9851293823,37.5799426497
100900167,01827,볼링장,126.9879589184,37.5792554401
100900166,01829,부암슈퍼,126.9638602023,37.5947600723
100900165,01830,지구촌교회,126.9793481616,37.6130468496
100900164,01831,월암공원,126.9639860521,37.571188468
100900163,01832,숭인1동주민센터,127.0155607478,37.5774150014
100900162,01833,북촌한옥마을.돈미약국,126.9851687446,37.5812807738
100900161,01835,하림각,126.9629663842,37.5976847268
100900160,01836,보현빌라,126.9782816235,37.6152615256
100900159,01837,스위스대사관,126.9658057546,37.569988785
100900158,01838,창신역.4번출구,127.0155054665,37.5783593519
100900157,01839,안국선원.삼거리,126.9852205387,37.5827432497
100900156,01840,세검정교회,126.9594704955,37.5995632468
100900200,01841,혜화동로터리,127.0010032298,37.5859196111
100900155,01842,북악휴게실,126.9781122953,37.6132637884
100900154,01843,서울시교육청,126.9668249505,37.5692429716
100900210,01844,창신쌍용1단지.종로센트레빌아파트,127.0155692785,37.5803228198
100900153,01845,사우디대사관,126.9852486243,37.583863308
100900152,01846,상명대입구,126.9574023475,37.5998544708
100900151,01847,혜화초등학교,126.9999909413,37.5873892922
100900150,01848,북악파크,126.9778558349,37.6110083234
100900149,01849,강북삼성병원,126.9683376852,37.5685315243
100900148,01850,청룡사.보문파크뷰자이아파트,127.0171508787,37.5797846496
100900147,01851,감사원,126.9855618026,37.5862656518
100900201,01852,국민생활관,126.9993137839,37.5896275957
100900146,01853,귀빈예식장,126.9733337071,37.6089952635
100900173,01855,종로센트레빌후문.e편한세상보문아파트,127.0162353711,37.5818978359
100900172,01856,통일부,126.9861073451,37.5875308468
100900171,01858,서울국제고등학교,126.9971407875,37.5890742944
100900203,01860,성대후문.와룡공원,126.989734001,37.5891522774
100900170,01861,상명초등학교,126.9568173576,37.600904926
100900169,01862,새마을금고,126.9965690016,37.5878406881
100900002,01863,경진빌라,126.9579482257,37.6018640911
100900004,01864,명륜시장.성대후문,126.9952305162,37.5887246101
100900006,01865,완성빌라,126.9576665157,37.6033399708
100900008,01866,양현관,126.9937685575,37.5897680031
100900010,01868,상명대후문,126.9574633677,37.6040715802
100900012,01869,샘미용실,126.9934084203,37.5902545716
100900014,01870,산정빌라,126.9575782035,37.6052835831
100900018,01872,문방구,126.9579809335,37.6061334517
100900019,01873,마트앞,126.958756466,37.6066987064
100900022,01874,국민은행.세검정지점,126.9607859545,37.6048873133
100900023,01875,화정박물관,126.965686732,37.604859104
100900027,01876,혜화역4번출구,127.0014561074,37.5834632357
100900028,01877,방송통신대앞,127.0019926794,37.5786973612
100900030,01878,서울대치과대학,126.9978748922,37.5773060748
100900033,01879,효제초교.연동교회,127.0022087811,37.5736413355
100900204,01881,성균관대학교,126.9900035953,37.5884638684
100900214,01882,독립문역,126.9594077577,37.5732838531
100900038,01883,서울대치과대학,126.9977741191,37.5776016307
100900043,01886,이화사거리,127.0020084833,37.5769483437
100900042,01887,서울대학교병원현관.암병원현관,126.9981567653,37.5789514712
100900211,01888,공평.종각,126.9832427053,37.5715937879
100900213,01889,조계사,126.9831199261,37.5738654222
100900212,01890,종로경찰서,126.984082977,37.5757100898
100000375,01893,인사동.아벤트리호텔,126.983156342,37.5730319178
100000374,01894,세종문화회관,126.9765653997,37.5722306242
100000399,01901,JW메리어트동대문호텔,127.0094731042,37.5703018655
101000001,02001,남대문세무서.서울백병원,126.9875299251,37.5649848069
101000002,02002,서울백병원.가톨릭평화방송.국가인권위,126.9878515151,37.5643504711
101000003,02003,서울역버스환승센터,126.9723557945,37.5550251461
101000004,02004,서울역버스환승센터,126.9725027692,37.5554748264
101000005,02005,서울역버스환승센터,126.9727617448,37.5553876977
101000006,02006,서울역버스환승센터,126.9728547738,37.5554794133
101000007,02007,서울역버스환승센터,126.9731162301,37.5554839786
101000008,02008,숭례문,126.9737783904,37.5586388574
101000009,02101,만리동고개,126.9626582054,37.551787064
101000010,02102,손기정체육공원입구,126.9662339013,37.5544459527
101000011,02103,경기여상입구,126.9679392973,37.5565519034
101000012,02104,서울역서부,126.9693762438,37.5563255909
101000013,02105,서울역서부,126.9692772863,37.556997907
101000014,02106,서울역서부,126.9691354395,37.5583836266
101000015,02107,종근당.충정로역,126.964480544,37.5595131906
101000016,02108,한국경제신문사,126.967766091,37.5604386551
101000017,02109,한국경제신문사,126.9681135141,37.5606234736
101000018,02110,경찰청.동북아역사재단,126.9691267228,37.5630494858
101000300,02111,써미트호텔,127.0067839769,37.5624042727
101000020,02113,서대문경찰서.농협은행,126.9677868059,37.5649062803
101000021,02116,염천교,126.9733602844,37.5598597457
101000022,02117,숭례문,126.9732932811,37.5582968367
101000023,02118,숭례문.한국일보,126.9737375955,37.5587713091
101000025,02120,후암삼거리,126.9760823693,37.5533418143
101000026,02121,숭례문,126.9744042993,37.5587327085
101000027,02122,숭례문,126.97402,37.558487
101000028,02123,숭례문,126.973698264,37.557960316
101000029,02124,남대문시장악세사리전문상가,126.9762051934,37.5586132397
101000030,02125,숭례문남산방향,126.9756720863,37.5585581643
101000031,02126,남대문시장,126.9800597585,37.561191081
101000032,02127,북창동.남대문시장,126.97792,37.561175
101000033,02128,시청앞,126.9765581213,37.5623244458
101000034,02131,삼성본관앞,126.9759075283,37.5620517519
101000035,02132,시청앞,126.9761427477,37.5627627622
101000036,02133,서소문,126.9748872517,37.5632067407
101000037,02134,서소문,126.9753398851,37.5636754044
101000039,02137,서울신문사,126.9773647051,37.5683632936
101000040,02139,우리은행종로지점,126.9829289124,37.5675190047
101000041,02140,롯데백화점,126.982205,37.56451
101000042,02141,해운센터.롯데영프라자,126.9815478394,37.5628907847
101000043,02142,롯데영프라자,126.982008,37.562885
